text,label
"sebelum ini anaqi seorang yang diam tak bergerak, asyik baring saja.",0
"sebelum ini kalau bawa pijak rumput mesti menangis kuat.",0
"next appointment jumpa doctor psychologist kerana dia ada masalah behaviour.",0
"anak saya ahmad ali jenis sangat aktif, tak pernah day nap, selalu tido malam je.",0
"sudahnya mood kelaut kalau ditegur lagi.",0
"hanya seminggu buat terapi di rumah dengan konsisten, anak dah dapat banyak perubahan selepas terapi.",2
"parent lain pun boleh share perkembangan anak di sini ya.",1
"kalau dulu kena marah dia buat tak tahu saja.",0
"kalau tidak drama air mata dari awal hingga akhir.",0
"bahasa melayu pun ok.",2
"lagi ketua sekolah dan cikgu luthfi is giving full support on his development in school.",2
"sedikit pengalaman saya kongsikan bersama.",1
"cuma bab makan masih lagi cerewet.",0
"sebelum ini dia berani.",0
"now at the infrared level.",1
"jadi itu yang dia marah bila saya tak bagi.",0
"haah, tu baru siap ratah sup seafood, campur cendawan nak bagi dia balik. 😂",2
"the best therapy. my child has seen a lot of improvement here. thank you neurospa therapy ❤️",2
"bila panggil cepat respon dah juga.",2
"salam, saya nak kongsi perubahan yang baik sepanjang sesi terapi ini.",2
"anak saya semalam baru first day buat balutan.",2
"sebelum masuk terapi merangkak pun tak boleh.",0
"masih makan benda sama, telur dadar dan cupcake.",0
"sebelum ini pegang buku pun tak mahu.",0
"selain itu, kalau dulu susah sangat tidur malam.",0
"di sekolah luthfi setiap pagi ada outdoor activity berjalan, selalu dia akan berlari.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"sebelum masuk terapi merangkak pun tak boleh.",0
"dah tak takut pijak rumput.",2
"selalunya tidur lambat, aktif sangat main.",1
"parent lain pun boleh share perkembangan anak di sini ya.",1
"tahniah diucapkan.",2
"alhamdulillah.",2
"assalamualaikum, ustaz.",1
"dah masuk urutan mulut, pipi dan tangan.",2
"saya bagi dia mewarna sebab subjek mewarna dan melukis dia memang tak minat.",0
"ajak baca doa, sekali tengok eh dah lelap dah.",2
"sebelum ini tengok nasi dia dah buat muka.",0
"hampir 2 bulan terapi.",1
"jumpa doctor di hta around april 2023, diagnosed as autism.",1
"salam, saya nak tanya. anak autism biasanya kurang berpeluh ke?",1
"jumpa doctor di hta around april 2023, diagnosed as autism.",1
"nanti saya update sikit-sikit.",1
"rendaman: 4:30 petang ke 5 petang.",1
"dah pandai menunjuk.",2
"dan improvement amsyar sangat laju.",2
"lepas balutan kali keempat suffi agak grumpy, tantrum tak nak dibalut.",0
"banyak dah improved muhammad anaqi.",2
"jadi itu yang dia marah bila saya tak bagi.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"ammar boleh membaca tetapi tidak boleh berinteraksi sebelum ini.",0
"mengamuk bila balut dan nangis yang agak kuat.",0
"just finished the 16th session.",1
"sedikit pengalaman saya kongsikan bersama.",1
"berapa lama nampak improvement boleh berkomunikasi itu, puan.",1
"ok saya akan buat balutan esok ikut paras kening, sekarang dia dah tidur lepas balut.",1
"dia suka memanjat meja dan kerusi.",0
"cepat respon dan boleh bertindak mengikut arahan yang diberikan.",2
"ni disebabkan proses perubahan ke?",1
"ok saya akan buat balutan esok ikut paras kening, sekarang dia dah tidur lepas balut.",1
"hai selamat malam. saya just nak share cerita anak saya.",1
"makanan yang dia nak makan pula tu fast food, makanan tak sihat.",0
"kalau sugar tinggi habis semua orang dia kacau.",0
"alhamdulillah, nak nangis rasa.",2
"the place is comfortable, the therapists are all experienced, and the service is tip top.",2
"the child has made a lot of good progress.",2
"mama cuba sehabis baik nak balut kepala itu.",2
"dia cuba sampaikan sesuatu sambil menahan sedih, kadang sampai menitis air mata.",0
"kalau sugar tinggi habis semua orang dia kacau.",0
"dah tahu kalau mandi tu kena buka baju, seluar dan letak dalam bakul.",2
"cikgu siap ambil gambar tunjuk bukti dekat saya pasal saya tak percaya. 👍🙌",2
"walaupun dah makan dua itu tetap cakap lapar lagi.",0
"dia follow saja bila balut kepala.",2
"alahai sian adam. selamat malam. 😊",2
"kalau sebelum ini setiap malam bangun menangis. 🥺",0
"ia terjadi pada anak saya juga pada mulanya positive to negative behavior 2-3 hari gitu.",0
"sebelum ini hanya makan nasi berlaukkan sup ayam, kadang makan nasi hanya 2 hari sekali.",0
"sabar menunggu giliran dan tak lari mengejut dah.",2
"saya tanya pada teacher taska.",1
"faeeq sebelum ini tak makan daging.",0
"dia akan jawab 'yes' dan 'ermm'.",2
"dah tak meraung ajak keluar malam-malam.",2
"semua ini dapat bertahan dalam 30-40 minit, selepas itu, affan akan tak senang duduk dan suruh buka.",0
"dia dah boleh jalan sendiri untuk berapa langkah.",2
"masalah sangat memilih makanan, tantrum, tumbuk kawan.",0
"lepas bukak tu dia senyap pergi ambil cawan dengan botol air kat atas meja bagi kat saya nak minum air.",2
"jenuh dah bersilat maknya baru nak sihat.",0
"nanti saya update sikit-sikit.",1
"ammar pakai mask sampai balik.",2
"cuba buka tapi kita tak bagi.",1
"saya ada tanya cikgu perlu ke saya tukarkan sekolah luthfi kepada sekolah khas untuk kanak-kanak yang ada development issue, sebab sekarang luthfi sekolah government biasa.",1
"perkembangan: dah start bina ayat sikit-sikit.",2
"rasanya yang kedua masih mencabar.",0
"boleh fokus untuk settlekan satu-satu task atau aktiviti.",2
"hopefully, everything will be made easier for him while undergoing therapy here.",2
"hari ini di ot amin masih lagi tak boleh nak fokus lama.",0
"selain itu, kalau dulu susah sangat tidur malam.",0
"terapi malam: 5:30 petang ke 7:30 malam.",1
"don dah pandai makan sendiri.",2
"sekarang dah pandai makan nasi.",2
"ini kali kedua potong rambut lepas start terapi jun.",2
"malam tadi tidur awal, tak ada nak pujuk-pujuk.",2
"alhamdulillah sejak buat balutan dia dah tak tantrum dah.",2
"tido lena sudah.",2
"lepas buat rawatan ini baru nak dia nak rasa makanan lain.",2
"kadang dia nak sesuatu tu dia cakap dekat saya sambil nangis.",0
"ia terjadi pada anak saya juga pada mulanya positive to negative behavior 2-3 hari gitu.",0
"eye contact: kalau sebelum ini buat apa pun dia tak akan bagi respon.",0
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"tidak sangka sangat-sangat akhirnya dia tahu sakit dan tunjuk di mana bahagian dia sakit.",2
"berkat treatment kat neurospa.",2
"limited sangat cara bermain katanya.",0
"salam maaf, terlepas untuk update.",1
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"minggu lepas pergi ot, terapis bagitahu fokus dia bagus.",2
"banyak lagi, moga lepas ini banyak lagi perkembangannya.",2
"dari mula kenal izz di ppki dia selalu warna ikut suka hati.",0
"kalau tak sebelum ini memang tak fokus tunjuk apa dalam buku itu, langsung tak nak tengok.",0
"agak struggle buat urutan dalam kereta, tak nak bagi kerjasama.",1
"anak saya aqeela dah buat terapi almost 4 month.",1
"baik ustaz, saya usahakan.",1
"thank god, the 2nd infrared session is over.",1
"papa dia suruh saya tengok ummar kayuh basikal macam mana.",1
"kami fikir positif saja, itu yang penting.",2
"sudahnya tak lama lagi mahu spm.",1
"sebelum ini tengok nasi dia dah buat muka.",0
"dia sekarang ringan sikit nak ikut.",2
"berjalan masih beberapa steps tapi dia makin nak bangun dan praktis sendiri.",2
"azz amin anak bertuah, kalau tak balut dia main saja sampai kul 3 ke 4 pagi baru ngantuk.",0
"hai, selamat malam. saya just nak share cerita anak saya.",1
"alhamdulillah, dah hari ke-24 balutan kepala.",2
"tahniah.",2
"banyak perubahan anaqi.",2
"they can now listen to simple instructions.",2
"sebelum ini dia tak akan makan, dia macam geli.",0
"nampak dah nak bergaul sedikit dengan kawan-kawan.",2
"aathvick baru lagi, dia nangis sebab tak selesa.",0
"syiffa'a terapi sesi pagi.",1
"arini bawa ajwad ke menara taming sari.",1
"anak saya aqeela dah buat terapi almost 4 month.",1
"both children have autism.",1
"dari mula kenal izz di ppki dia selalu warna ikut suka hati.",0
"setiap minggu banyak sangat perubahan dia semenjak buat terapi ini.",2
"bila peluh keluar, menandakan badan panas disebabkan aliran darah cantik.",1
"selepas urut dan balut terus tidur.",2
"salam kawan-kawan, jom balut kepala. 🌹",1
"salam kawan-kawan, jom balut kepala. 🌹",1
"alhamdulillah banyak lagi perubahannya.",2
"now at the infrared level.",1
"belum lagi. cuma therapist nurul je tgh liae dgn saya.",1
"wah dah hensem boy, nampak dah besar sangat ini.",2
"antara perkembangan yang ditunjukkan selepas terapi ialah:",1
"sebelum ini nak potong rambut dia nangis sampai termuntah.",0
"alhamdulillah memang banyak perubahan yang baik selepas sesi urutan.",2
"sebelum ini pasif, tak suka berkawan.",0
"ada sahabat tempat kerja saya terserempak dengan ammar di sekolah yang tahu situasi ammar.",1
"still in progress for any signs of improvement.",1
"balutan untuk sesi 2 harini di centre, ayah eren yang buat, ketat dan kemas.",2
"tapi normal kan.",1
"malam tadi tidur awal, tak ada nak pujuk-pujuk.",2
"dia cuba sampaikan sesuatu sambil menahan sedih, kadang sampai menitis air mata.",0
"muhammad faeq. 💜",1
"buat therapy sebab susah nak makan, tak nak makan langsung.",0
"setelah itu, bermulalah fasa terapi balut tangan pula yang mana permulaannya memang amat mencabar untuk balut.",0
"hanya allah swt saja tahu perasaan itu kan.",1
"terapi malam: 5:30 petang ke 7:30 malam.",1
"hari khamis lepas, adeeb jumpa occupational therapy under hospital government.",1
"buat therapy sebab susah nak makan, tak nak makan langsung.",0
"hai, selamat malam. saya just nak share cerita anak saya.",1
"setakat ini perubahan haseem makin baik terima arahan dan makin banyak words dia boleh sebut.",2
"saya nak share perkembangan anak saya amiirah ada adhd, baru 3 kali buat terapi.",1
"dah suka main macam ini.",2
"ni dia tido dalam kereta waktu jemput abang dia sekolah.",2
"ini result periksa dia akhir tahun.",1
"sebelum therapy balut ini dia akan tidur lewat dalam 12:30 ke 1 pagi.",0
"arini bawa ajwad ke menara taming sari.",1
"sekarang potong rambut tak payah pegang dah dia, big boy sangat.",2
"selera makan bertambah.",2
"video pembelajaran saya akan share nanti insyallah.",1
"ada sahabat tempat kerja saya terserempak dengan ammar di sekolah yang tahu situasi ammar.",1
"now at the infrared level.",1
"sebelum dia memang tak pernah tidur siang.",0
"lepas balutan kali keempat suffi agak grumpy, tantrum tak nak dibalut.",0
"nanti saya update sikit-sikit.",1
"ini result periksa dia akhir tahun.",1
"terapi malam: 5:30 petang ke 7:30 malam.",1
"setelah sebulan jalani terapi, perkembangan positif dia nampak daripada hasil mewarna dia hari ini.",2
"salam puan, nak tanya. reza ini ada nampak apa-apa perubahan yang positif tak.",1
"jika berpeluh pun sikit je, tak macam anak normal yang boleh basah kepala dan badan.",1
"bahasa melayu pun boleh bercakap banyak dah.",2
"saya hantar isa 2 tahun occupational therapy, 2 tahun skill masih sama.",0
"semalam saya hanya buat 1 jam untuk setiap kali pakai.",1
"selain dari dah boleh pakai cap, haziq selepas urutan leher dan muka dah makin laju mengunyah makanan.",2
"selain itu, kalau dulu susah sangat tidur malam.",0
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"speech dah banyak dan terapis pun dah nampak perubahan ini.",2
"doakan ya.",2
"dia selalu sedih dan suka marah, merajuk.",0
"punya lama lah mama tunggu dia bye-bye.",1
"alhamdulillah dah mula nak makan dan rasa makanan selain bubur.",2
"boleh duduk setempat lebih 1/2 jam.",2
"sebelum ini dia cakap juga lapar tapi sehari 1–2 kali saja.",1
"fairel dah boleh gunting rambut.",2
"kemudian saya stop ot, saya buat rawatan di neurotherapy dan hantar playschool.",1
"anak dah masuk sesi ke-7.",1
"rendaman: 4:30 petang ke 5 petang.",1
"tak dapat buat balutan, hanya urut sahaja.",0
"sebelum ini saya berhentikan sekolah.",0
"sejak terapi otak, terapis cakap ada nampak perubahan.",2
"alhamdulillah, sebelum ini makan bubur saja ke.",1
"perkembangan baik untuk anak saya. 🥹",2
"selepas pakai dia ok dan nampak dia selesa dengan balutan. ❤️",2
"very good and my child has seen many changes.",2
"nak makan yang dia nak saja.",0
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"papa dia suruh saya tengok ummar kayuh basikal macam mana.",1
"ammar boleh membaca tetapi tidak boleh berinteraksi sebelum ini.",0
"pengeluaran hormon akan jadi lebih stabil.",1
"salam, ya betul. kebanyakan anak autism dan adhd kurang berpeluh.",1
"just finished the 16th session.",1
"assalamualaikum ustaz, nak share kalau tak isaac memang tak pandai nak main block ini.",0
"balutan kali ke-3 untuk harini. 👍",1
"bangun pagi pun senang.",2
"sebelum ini nak potong rambut dia nangis sampai termuntah.",0
"cuma pergerakkan dia masih tak boleh control.",0
"ari ini terapikan sekali kakaknya.",1
"agak struggle buat urutan dalam kereta, tak nak bagi kerjasama.",1
"sebelum ini bila suap makan dia kemam lama.",0
"january 2024 berhenti tahfiz, bawa balik start sekolah sk dan sra masuk tahun 6.",1
"anak saya sebelum ini kurang berpeluh, sekarang cepat berpeluh.",1
"kalau saya tunjuk dekat gambar dalam buku itu, dia tengok arah tangan saya.",2
"baru 6 sesi kalau tidak silap.",1
"sebelum ini semua masuk mulut.",0
"dah makin ada peningkatan dalam bercakap.",2
"noah said hello. 🥰",2
"selain itu, kalau dulu susah sangat tidur malam.",0
"so kawan-kawan semua teruskan terapi ok. ✌️",2
"bila dah buat terapi, otak dah memproses dan menghantar signal ke seluruh sistem badan seperti sistem kardiovaskular, sistem endokrin, sistem limpatik.",1
"cuma paper cikgu ambil balik.",1
"i've been bringing my children here since they first opened.",1
"dari kecik sampai sekarang makan bubur.",0
"sebuah sudah buat balutan.",1
"sekarang dah mula nak makan daging, sotong, udang.",2
"salam kawan-kawan, jom balut kepala. 🌹",1
"malam tadi alhamdulillah dapat balut kepala sebelum tido.",2
"sebelum ini dia berani.",0
"sebelum ini tengok nasi dia dah buat muka.",0
"yana sarankan pada saya bagus kalau saya buat terapi pada anak-anak yang lain.",2
"alhamdulillah, i am one of the customers who received child therapy treatment at this treatment center.",2
"assalamualaikum ustaz, saya khairul ayah kepada eewan.",1
"hai, nak share before terapi isa mateen kelas bulan july, still tak fokus dan tak faham apa teacher minta.",0
"salam puan, nak tanya. reza ini ada nampak apa-apa perubahan yang positif tak.",1
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"agak struggle buat urutan dalam kereta, tak nak bagi kerjasama.",1
"pengeluaran hormon akan jadi lebih stabil.",1
"semua sudah lena. 😄",2
"terbaik, teruskan terapi.",2
"terima kasih allah, terima kasih team neurospa.",2
"hampir 2 bulan terapi.",1
"next appointment jumpa doctor psychologist kerana dia ada masalah behaviour.",0
"nak suap makan pakai tangan dia tak nak sebab tak suka saya sentuh mulut dia.",0
"khareef aanaqi.",1
"kalau dulu kena marah dia buat tak tahu saja.",0
"saya hantar isa 2 tahun occupational therapy, 2 tahun skill masih sama.",0
"setelah itu, bermulalah fasa terapi balut tangan pula yang mana permulaannya memang amat mencabar untuk balut.",0
"kurang tantrum.",2
"balik kampung masih on balutan.",1
"hari ini tahan 4 jam.",2
"cuma susah nak dengar suara dia.",0
"selain itu, kalau dulu susah sangat tidur malam.",0
"walaupun masih ada merayau sikit kat school.",0
"alhamdulillah, dah boleh pijak rumput.",2
"contoh: mommy nak susu.",2
"pertama, mudah tidur.",2
"day 1-2: 1 jam. day 3: 3 jam.",1
"alhamdulillah.",2
"kemudian saya stop ot, saya buat rawatan di neurotherapy dan hantar playschool.",1
"mula-mula langsung tak bagi balut kepala masa terapi pertama.",0
"anak dah masuk sesi ke-7.",1
"terus usaha.",2
"my son's name is al faiq. he has had his 7th therapy session.",1
"kat luar tak ada tantrum, ok sekarang.",2
"children have seen changes after having therapy here.",2
"sedikit pengalaman saya kongsikan bersama.",1
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"feedback dari sekolah:",1
"bila dah buat terapi, otak dah memproses dan menghantar signal ke seluruh sistem badan seperti sistem kardiovaskular, sistem endokrin, sistem limpatik.",1
"alhamdulillah, i see changes in various aspects.",2
"terapi di hari kedua, permulaan yang baik.",2
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"terapi neuro by neurospa puchong, selangor - terapi speech, autism, adhd dan sensory terbaik di selangor.",2
"salam ustaz, markah amsyar.",2
"cuma paper cikgu ambil balik.",1
"selain itu, kalau dulu susah sangat tidur malam.",0
"yeay, mecca dah boleh duduk lama satu masa.",2
"sekarang makan nasi 2-3 kali sehari.",2
"selain itu, kalau dulu susah sangat tidur malam.",0
"dah ada perkembangan positif. 🙌",2
"salam kawan-kawan, jom balut kepala. 🌹",1
"anak saya aqeela dah buat terapi almost 4 month.",1
"ada sahabat tempat kerja saya terserempak dengan ammar di sekolah yang tahu situasi ammar.",1
"kalau nak tidur pun masuk jam 3–4 pagi baru nak tidur.",0
"berapa lama nampak improvement boleh berkomunikasi itu, puan.",1
"yang terkini, ammar mula minum air mineral direct daripada botol mineral dan mulakan dengan bismillah.",2
"eye contact semua dah ok.",2
"very good and i am one of the customers who received child therapy treatment at this treatment center.",2
"alhamdulillah ustaz, bacaan zharfan makin meningkat dan dia makin fokus semasa membaca.",2
"alhamdulillah, sebelum ini makan bubur saja ke.",1
"salam, baru dapat terapi, baru balik dari temujanji cara kerja di hospital.",1
"memang bab bermain amin belum pandai sangat.",0
"lepas mula balutan suffi dah ada focus, dengar arahan, nak juga bercakap walaupun tak kerap.",2
"cuma selepas lama cuti dari balutan dan urutan selama 2 minggu disebabkan anak-anak baru baik chicken pox agak struggle sikit mengamuk juga nak start balutan.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"selepas urut dan balut terus tidur.",2
"hari ini dia fokus main block saja.",2
"kemudian dia dah ok dah.",2
"alhamdulillah, tahniah puan, kemas balutannya cuma lepas ini ketatkan sikit lagi ya. 👍",2
"my son has been to neurospa and has made great progress.. 100% recommended.",2
"walau dah bagi fon pun tak jalan.",0
"insyallah segala usaha parents akan berjaya nanti.",2
"he is becoming calmer and showing positive development.",2
"banyak perubahan kalau kita usaha lebih.",2
"hafiy eshan hari ini masuk sesi 5.",1
"dah pandai buat memek muka.",2
"tak dapat buat balutan, hanya urut sahaja.",0
"sebelum ini selalu kata cepat lupa dan tak fokus dalam kelas.",0
"dulu dia tak pandai lipat lutut untuk duduk dekat gelongsor itu.",0
"dah nak bermain, dah faham arahan sikit-sikit suruh kemas mainan.",2
"hari ini di ot amin masih lagi tak boleh nak fokus lama.",0
"sebelum dia memang tak pernah tidur siang.",0
"sebelum ini semua masuk mulut.",0
"nak makan yang dia nak saja.",0
"i am very satisfied and it helped to overcome my child's mild adhd problem.",2
"walaupun masih ada merayau sikit kat school.",0
"dari kecik sampai sekarang makan bubur.",0
"kedua, sentiasa cakap lapar.",1
"toleh bila panggil nama ada improvement almost 70-90% of the time.",2
"sebelum ini kalau siang wajib tidur dalam buaian, kalau tak tak tidur.",0
"moga amin dapat perubahan yang lebih banyak lagi.",2
"walau dah bagi fon pun tak jalan.",0
"salam, alhamdulillah syukur.",2
"setiap hari balut tanpa gagal. 😄",2
"khareef aanaqi.",1
"dah kurang mengamuk.",2
"perangai baru dekat rumah pengasuh.",2
"result sekolah agama syuhada.",1
"cuma paper cikgu ambil balik.",1
"memang bab bermain amin belum pandai sangat.",0
"jam 10.30 tidur.",2
"he is very tolerant, can be brought to talk to.",2
"result sekolah agama syuhada.",1
"kekadang boleh divert attention dia untuk lengkapkan sejam, adakala dia akan nangis sampai buka balutan, adakala pada masa awal-awal tu buka saja balutan bila dia nangis lama sangat.",0
"good job anak, mama syukur sangat.",2
"faeeq sebelum ini tak makan daging.",0
"personally tak nampak sangat significant changes selain daripada yang di atas.",1
"papa dia suruh saya tengok ummar kayuh basikal macam mana.",1
"adam khalish sekarang macam jadi penyedih.",0
"jika berpeluh pun sikit je, tak macam anak normal yang boleh basah kepala dan badan.",1
"semoga akan terus ada perkembangan yang baik-baik untuk anak mama ini.",2
"hafiy eshan hari ini masuk sesi 5.",1
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"balik kampung masih on balutan.",1
"parent lain pun boleh share perkembangan anak di sini ya.",1
"emir sekarang ini nak jumpa doktor tak payah bersilat dengan dia.",2
"tapi semalam dia tidur agak lama, rasa macam ada me time.",2
"alhamdulillah, thank you.",2
"tahniah, bagus sangat-sangat konsisten. boleh share apa perkembangan khalis aqif sekarang puan.",2
"hari ke-3 rawatan dia yang mintak nak balik dan nampak cool, nak belajar.",2
"sudahnya mood kelaut kalau ditegur lagi.",0
"mama cuba sehabis baik nak balut kepala itu.",2
"good engagement and treatment provided.",2
"jumpa doctor di hta around april 2023, diagnosed as autism.",1
"sudahnya tak lama lagi mahu spm.",1
"assalamualaikum ustaz, saya khairul ayah kepada eewan.",1
"bangun pagi pun senang, tak ada mengamuk-mengamuk macam biasa.",2
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"zaaef baru sihat.",2
"salam maaf, terlepas untuk update.",1
"now at the infrared level.",1
"kalau dulu kena marah dia buat tak tahu saja.",0
"dulu dia tak pandai lipat lutut untuk duduk dekat gelongsor itu.",0
"dah boleh main sama-sama ke, boleh duduk diam ke.",1
"cuma cara bercakap kadang-kadang macam baby, tapi xpelat lagi.",0
"walaupun masih ada merayau sikit kat school.",0
"sebelum ini jenuh la nak bersilat dengan dia untuk potong rambut saja.",0
"doktor di hukm tahu neurospa therapy lah ustaz.",1
"dia dah start nak makan benda baru, macam bihun goreng, chicken chop yang dah tabur kuah atas chicken pun dia okay.",2
"perubahan terbaru zaaef dah boleh makan ubat guna picagari.",2
"hehe, dia selera orang tua ustaz, tak pedas dia tak selera makan. 😂",1
"insyallah saya akan share video noah.",1
"mama pegang fon bagi tengok kartun.",2
"di sekolah luthfi setiap pagi ada outdoor activity berjalan, selalu dia akan berlari.",0
"jarang update sebab mak ayahnya ngantuk dah.",1
"pada masa tu suffi dah mula ada eye contact, kasih sayang, bermain dgn adik dia, panggil mummy daddy.",2
"salam. saya nak share pasal khalish. alhamdulillah khalish makin fokus disekolah.",2
"awal pagi dan nak tidur je sempat buat sebab kerja.",1
"assalamualaikum ustaz, saya nak share perkembangan isaac.",2
"mengamuk bila balut dan nangis yang agak kuat.",0
"emir mubarak. maaf jarang kongsi gambar.",1
"selesai online therapy untuk aiman hakim dan habib.",1
"amboi, dasyat selera dia.. 🤭",2
"betul anak saya first time muntah semua lendir-lendir.",0
"dah boleh bergaul bermain dengan orang.",2
"buat awal pakai ke sekolah, dah pesan kepada teacher dia minta bukakan nanti.",1
"hypernya kuranglah sikit berbanding sebelum ini.",2
"nak makan yang dia nak saja.",0
"tantrum dah kurang.",2
"buat therapy sebab susah nak makan, tak nak makan langsung.",0
"sangat takut potong rambut.",0
"saja sharing perkembangan anak.",1
"kalau dulu kena marah dia buat tak tahu saja.",0
"anak saya sebelum ini kurang berpeluh, sekarang cepat berpeluh.",1
"parent lain pun boleh share perkembangan anak di sini ya.",1
"faeeq sebelum ini tak makan daging.",0
"kalau sebelum ini berkejaran dengan dia saja. 😂😂",0
"tapi normal kan.",1
"saya semakin semangat nak balut dia setiap hari. syukur sangat🤲🏼",2
"terus buat terapi mak ayah, walaupun tiap-tiap hari kena bersilat.",2
"arini bawa ajwad ke menara taming sari.",1
"kalau di sekolah, dah kurang buat perangai. tak ada cikgu mengadu.",2
"alhamdulillah ada respon bye-bye dah.",2
"i am very satisfied, best of luck.",2
"terbaik. syukur, ada perubahan. teruskan terapi setiap hari. moga berhasil lebih banyak lagi. 💪💪",2
"sebelum ini nak jumpa doktor kena bersilat, nampak klinik atau hospital terus tak nak masuk.",0
"saya perasan beberapa hari ini juga dia tak masukkan benda atau mainan dalam mulut.",2
"dan disebabkan saya nampak ada beberapa perubahan yang positif pada daniel.",2
"tadi siang ada parents teacher meeting, cikgu beritahu seminggu kebelakangan ini luthfi dah mula ikut buat aktiviti sekolah dan ikut arahan.",2
"alhamdulillah buat, tak pernah tinggal lagi.",2
"hafiy eshan hari ini masuk sesi 9, alhamdulillah.",2
"alhamdulillah, sangat besar perubahan ini, bagus sangat-sangat.",2
"just finished the 16th session.",1
"cuma paper cikgu ambil balik.",1
"ini result periksa dia akhir tahun.",1
"sebelum ini tengok nasi dia dah buat muka, sekarang dia dah try makan 2–3 butir.",2
"salam dan selamat malam.",1
"cuma pergerakkan dia masih tak boleh control.",0
"alhamdulillah hari ini cikgu kasi feedback.",2
"my son's name is al faiq. he has had his 7th therapy session.",1
"dengar nasihat bila pesan jangan bawa balik mainan orang lain.",2
"cuma bab makan masih lagi cerewet.",0
"lepas buat terapi tadi tidur dah budaknya.",2
"terima kasih team neurospa therapy bantu ammar.",2
"may 2024 start therapy at neurospa therapy till now.",1
"macam itu juga dengan air, asyik nak suruh order chagee saja.",0
"dulu dia tak pandai lipat lutut untuk duduk dekat gelongsor itu.",0
"nak share perkembangan terkini anaqi.",1
"the best therapy. my child has seen a lot of improvement here. thank you neurospa therapy ❤️",2
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"sebelum ini kalau siang wajib tidur dalam buaian, kalau tak tak tidur.",0
"initially sebulan kami stop screen time dan hp.",1
"saya perhatikan sejak buat urutan dan balutan kepala ini, anak saya hari-hari tidur siang.",2
"alhamdulillah, sebelum ini saya ada bagitahu ustaz, kalau ummar kayuh basikal dia tak dapat kayuh dalam bulatan penuh.",0
"papa dia suruh saya tengok ummar kayuh basikal macam mana.",1
"ia terjadi pada anak saya juga pada mulanya positive to negative behavior 2-3 hari gitu.",0
"lepas itu ustaz, muhammad anaqi dah takut duduk sendirian.",0
"cuba buka tapi kita tak bagi.",1
"dulu dia tidak pegang apa-apa pun, selepas terapi baru dia buat sendiri.",2
"pengeluaran hormon akan jadi lebih stabil.",1
"amboi dia, peninglah mak dia nak melayan. 😅",2
"tadi ada parents teachers meeting di sekolahnya.",1
"baik ustaz, saya usahakan.",1
"tapi masih tak nak makan.",0
"salam, saya pun nak share antara perubahan positif haziq.",2
"sekarang makin kuat otot-otot anaqi.",2
"maxkan 3 jam sehari.",1
"betul anak saya first time muntah semua lendir-lendir.",0
"nak share sebab happy sangat dan tak sangka.",2
"hehe, dia selera orang tua ustaz, tak pedas dia tak selera makan. 😂",1
"dia memang masih ada lagi garang, tapi nampak slow sikit.",2
"ammar boleh membaca tetapi tidak boleh berinteraksi sebelum ini.",0
"yer betul.",1
"selalunya tidur lambat, aktif sangat main.",1
"maaf kelewatan update. balutan malam hari ke-4 izzara nuraisyah.",1
"pergerakan pun terkawal dan nak duduk bila mendengar arahan.",2
"sebelum ini kalau bawa pijak rumput mesti menangis kuat.",0
"masih makan benda sama, telur dadar dan cupcake.",0
"jarang memanjat.",2
"mengamuk bila balut dan nangis yang agak kuat.",0
"sebelum ini tak nak makan nasi, asyik nak bubur.",0
"alhamdulillah anak sulong saya yang dekat ppki pun banyak perubahan dah.",2
"hampir 2 bulan terapi.",1
"alhamdulillah. 👍",2
"dah boleh sebut umi abah, sebelum ini tak boleh sebut.",2
"i've been bringing my children here since they first opened.",1
"banyak benda yang dulu dia tak nak buat sekarang dah nak buat.",2
"komen cikgu pun berkaitan emosi dan tak boleh kawal emosi.",0
"he now sleeps soundly.",2
"sekarang potong rambut tak payah pegang dah dia, big boy sangat.",2
"anak saya ahmad ali jenis sangat aktif, tak pernah day nap, selalu tido malam je.",0
"teacher ada cakap dia dah kurang tantrum, habiskan makanan, cuma masih lagi tak duduk diam.",2
"harini first time lepas dia rendam air garam, dia cirit sampai tak sempat ke toilet.",0
"keinginan mencuba semakin tinggi (belajar nak pakai stoking sendiri, kopiah, buka seluar dan pampers sendiri, juga belajar nak pakai kasut sendiri).",2
"antara punca anak autism lambat perkembangan sebab perkumuhan tidak cantik.",1
"kurang meragam.",2
